annee_installation;site;adresse;arrond;adresse_complete;acces;horaires_normal;horaires_vacances_ete;horaires_vacances_hiver;xy
2008/2009;Centre sportif Georges Carpentier;81 Bd Masséna;75013;81 Bd Masséna 75013 Paris  France;Intérieur;8h à 22h;8h à 22h;8h à 22h;48.820839, 2.368247
2008/2009;Centre sportif Jules Noël;3 Av Maurice D'Ocagne;75014;3 Av Maurice D'Ocagne 75014 Paris  France;Intérieur;8h à 22h30;8h à 22h;9h à 22h30;48.824547, 2.314142
2008/2009;Centre sportif Poissonniers;2 rue Jean Cocteau;75018;2 rue Jean Cocteau 75018 Paris  France;Extérieur;;;;48.899678, 2.351781
2008/2009;Gymnase Jean Jaurès;87 Av J.Jaurès;75019;87 Av J.Jaurès 75019 Paris  France;Intérieur;7h à 22h30;8h à 17h;fermé;48.885302, 2.379333
2008/2009;Centre sportif Déjérine;34 rue des docteurs Déjérine;75020;34 rue des docteurs Déjérine 75020 Paris  France;Intérieur;;;fermé;48.856657, 2.411711
2010;Espace jeunes Goutte D'Or;6 rue de la Goutte d'Or;75018;6 rue de la Goutte d'Or 75018 Paris  France;Intérieur;14h à 21h;;14h à 21h;48.885028, 2.354614
2008/2009;Centre spotif Paul Valéry;15 rue de la Nouvelle Calédonie;75012;15 rue de la Nouvelle Calédonie 75012 Paris  France;Intérieur;8h à 22h;8h à 22h;8h à 22h;48.840117, 2.412036
2008/2009;Centre sportif Max Rousié;28 rue André Bréchet;75017;28 rue André Bréchet 75017 Paris  France;Intérieur;8h à 21h30;8h à 21h;8h à 21h30;48.898947, 2.324894
2010;Antenne jeunes Flandre;49 ter Av de Flandre;75019;49 ter Av de Flandre 75019 Paris  France;Intérieur;;14h à 19h;14h à 19h;48.887299, 2.372373
2010;Centre d'animation Jemmapes;116 Quai de Jemmapes;75010;116 Quai de Jemmapes 75010 Paris  France;Intérieur;9h à 22h;10h à 19h;9h à 22h;48.87484, 2.363792
2010;Espace jeunes Charles Hermitte;54 Bd Ney;75018;54 Bd Ney 75018 Paris  France;Intérieur;10h à 20h;;10h à 20h;48.898742, 2.363889
2008/2009;TEP Neuve St Pierre;5-7 rue Neuve St Pierre;75004;5-7 rue Neuve St Pierre 75004 Paris  France;Intérieur;8h à 22h;8h à 22h;8h à 22h;48.853665, 2.363512
2008/2009;Gymnase Patriarches;6 Place Bernard Halphen;75005;6 Place Bernard Halphen 75005 Paris  France;Intérieur;7h à 22h30;7h à 14h;7h à 22h30;48.840319, 2.350767
2008/2009;Centre sportif Grange aux belles;17 rue Boy-Zelenski;75010;17 rue Boy-Zelenski 75010 Paris  France;Intérieur;8h à 22h30;9h à 21h;9h à 22h30;48.877434, 2.368388
